Ano;Unidade Geográfica;Localização;Dependência Administrativa;Taxa de Promoção Total - Ensino Médio;Taxa de Repetência Total - Ensino Médio;Taxa de Evasão Total - Ensino Médio
2016/2017;Brasil;Total;Total;78,1;10,4;9,1
2016/2017;Brasil;Urbana;Total;78,1;10,4;9,1
2016/2017;Brasil;Rural;Total;78;9,4;10,9
2016/2017;Brasil;Total;Federal;80;14,7;4,4
2016/2017;Brasil;Total;Estadual;75,9;11,3;10,1
2016/2017;Brasil;Total;Municipal;81,6;9,4;7,2
2016/2017;Brasil;Total;Privada;92,6;3,7;3,1
2016/2017;Brasil;Total;Pública;76;11,4;10
2016/2017;Norte;Total;Total;75,8;10,1;11,7
2016/2017;Norte;Urbana;Total;75,8;10,2;11,5
2016/2017;Norte;Rural;Total;75,9;8,8;13,6
2016/2017;Norte;Total;Federal;84,6;11,1;3,4
2016/2017;Norte;Total;Estadual;74,2;10,6;12,6
2016/2017;Norte;Total;Municipal;81,8;12,3;3,9
2016/2017;Norte;Total;Privada;93,4;3,3;2,9
2016/2017;Norte;Total;Pública;74,4;10,6;12,4
2016/2017;Nordeste;Total;Total;76,4;11,1;10
2016/2017;Nordeste;Urbana;Total;76,4;11,2;9,9
2016/2017;Nordeste;Rural;Total;75,7;10,7;11,8
2016/2017;Nordeste;Total;Federal;74,3;18,3;6,3
2016/2017;Nordeste;Total;Estadual;74,7;11,8;10,7
2016/2017;Nordeste;Total;Municipal;73;11,5;13,7
2016/2017;Nordeste;Total;Privada;90,6;4,3;4,6
2016/2017;Nordeste;Total;Pública;74,7;12;10,6
2016/2017;Sudeste;Total;Total;80,7;9,4;7,7
2016/2017;Sudeste;Urbana;Total;80,6;9,4;7,7
2016/2017;Sudeste;Rural;Total;84,8;6,6;7,4
2016/2017;Sudeste;Total;Federal;84;11,8;3,3
2016/2017;Sudeste;Total;Estadual;78,4;10,3;8,7
2016/2017;Sudeste;Total;Municipal;86,1;8;4,4
2016/2017;Sudeste;Total;Privada;93;3,6;2,8
2016/2017;Sudeste;Total;Pública;78,6;10,3;8,6
2016/2017;Sul;Total;Total;76,2;12,4;9,3
2016/2017;Sul;Urbana;Total;76;12,6;9,3
2016/2017;Sul;Rural;Total;81,5;9,3;8,5
2016/2017;Sul;Total;Federal;78,7;16,7;3,8
2016/2017;Sul;Total;Estadual;73,6;13,6;10,5
2016/2017;Sul;Total;Municipal;66,2;15,3;15,4
2016/2017;Sul;Total;Privada;94,1;3,5;1,9
2016/2017;Sul;Total;Pública;73,7;13,7;10,4
2016/2017;Centro-Oeste;Total;Total;75,8;10,4;10,4
2016/2017;Centro-Oeste;Urbana;Total;75,8;10,4;10,4
2016/2017;Centro-Oeste;Rural;Total;75,2;11,7;10,5
2016/2017;Centro-Oeste;Total;Federal;83,6;12,3;3,2
2016/2017;Centro-Oeste;Total;Estadual;72,7;11,6;11,8
2016/2017;Centro-Oeste;Total;Municipal;83;7;8,7
2016/2017;Centro-Oeste;Total;Privada;92,6;3,4;3,5
2016/2017;Centro-Oeste;Total;Pública;73;11,6;11,6
2016/2017;Rondônia;Total;Total;78,5;6,7;9,3
2016/2017;Rondônia;Urbana;Total;78,2;6,8;9,3
2016/2017;Rondônia;Rural;Total;81,7;5,9;9,4
2016/2017;Rondônia;Total;Privada;93,7;3,2;2,4
2016/2017;Rondônia;Total;Pública;77,3;7;9,8
2016/2017;Acre;Total;Total;73,9;11,2;10,2
2016/2017;Acre;Urbana;Total;73,1;11,8;10
2016/2017;Acre;Rural;Total;78,3;8,1;11,4
2016/2017;Acre;Total;Privada;93,1;3,8;2,6
2016/2017;Acre;Total;Pública;73;11,6;10,6
2016/2017;Amazonas;Total;Total;82,6;7,5;8,9
2016/2017;Amazonas;Urbana;Total;83;7,9;8,2
2016/2017;Amazonas;Rural;Total;80,9;5,5;12,9
2016/2017;Amazonas;Total;Privada;93,9;2,6;3,4
2016/2017;Amazonas;Total;Pública;82,1;7,8;9,2
2016/2017;Roraima;Total;Total;76,5;10,8;7,7
2016/2017;Roraima;Urbana;Total;76,4;11,3;7,2
2016/2017;Roraima;Rural;Total;76,7;8,7;9,8
2016/2017;Roraima;Total;Privada;94;3,8;1,3
2016/2017;Roraima;Total;Pública;75,1;11,4;8,2
2016/2017;Pará;Total;Total;72,4;11,2;14,6
2016/2017;Pará;Urbana;Total;72,5;11,2;14,4
2016/2017;Pará;Rural;Total;70;11,7;16,9
2016/2017;Pará;Total;Privada;93,5;3,2;3
2016/2017;Pará;Total;Pública;70,1;12,1;15,8
2016/2017;Amapá;Total;Total;70;14,2;10,3
2016/2017;Amapá;Urbana;Total;70,9;13,7;10
2016/2017;Amapá;Rural;Total;63,3;17,5;12,9
2016/2017;Amapá;Total;Privada;94,3;2,6;2,8
2016/2017;Amapá;Total;Pública;67,9;15,2;11
2016/2017;Tocantins;Total;Total;76,5;11,1;8,9
2016/2017;Tocantins;Urbana;Total;76,4;11,2;8,8
2016/2017;Tocantins;Rural;Total;78,6;9,6;10,5
2016/2017;Tocantins;Total;Privada;90;6,2;2,9
2016/2017;Tocantins;Total;Pública;75,6;11,4;9,3
2016/2017;Maranhão;Total;Total;76;11,3;11,2
2016/2017;Maranhão;Urbana;Total;76,3;11,4;10,7
2016/2017;Maranhão;Rural;Total;74;10,8;14,1
