Ano;Unidade Geográfica;Localização;Dependência Administrativa;Taxa de Promoção Total - Ensino Médio;Taxa de Repetência Total - Ensino Médio;Taxa de Evasão Total - Ensino Médio
2020/2021;Brasil;Total;Total;89;3,9;5,9
2020/2021;Brasil;Urbana;Total;89;3,9;5,9
2020/2021;Brasil;Rural;Total;88;5,2;5,9
2020/2021;Brasil;Total;Federal;76,6;19,3;3,6
2020/2021;Brasil;Total;Estadual;88,3;3,9;6,5
2020/2021;Brasil;Total;Municipal;93,4;2,9;3,2
2020/2021;Brasil;Total;Privada;96,2;1,2;2,3
2020/2021;Brasil;Total;Pública;87,9;4,3;6,4
2020/2021;Norte;Total;Total;92,2;3;3,2
2020/2021;Norte;Urbana;Total;92,2;3;3,1
2020/2021;Norte;Rural;Total;92;3,6;3,7
2020/2021;Norte;Total;Federal;74,5;21,6;3,4
2020/2021;Norte;Total;Estadual;92,6;2,5;3,2
2020/2021;Norte;Total;Municipal;97,6;0;2,4
2020/2021;Norte;Total;Privada;94,9;1,8;3
2020/2021;Norte;Total;Pública;92;3,1;3,2
2020/2021;Nordeste;Total;Total;88,1;5,4;5,4
2020/2021;Nordeste;Urbana;Total;88,3;5,4;5,3
2020/2021;Nordeste;Rural;Total;85,5;6,2;7,3
2020/2021;Nordeste;Total;Federal;72,9;20,6;6
2020/2021;Nordeste;Total;Estadual;88;5,3;5,5
2020/2021;Nordeste;Total;Municipal;79,3;8,2;11,8
2020/2021;Nordeste;Total;Privada;93,7;2;4,1
2020/2021;Nordeste;Total;Pública;87,5;5,8;5,6
2020/2021;Sudeste;Total;Total;90,6;2,7;5,2
2020/2021;Sudeste;Urbana;Total;90,6;2,7;5,2
2020/2021;Sudeste;Rural;Total;89,8;4,4;5,1
2020/2021;Sudeste;Total;Federal;86,8;10,8;2
2020/2021;Sudeste;Total;Estadual;89,4;2,9;6
2020/2021;Sudeste;Total;Municipal;96,5;1,5;1,7
2020/2021;Sudeste;Total;Privada;97,3;0,9;1,5
2020/2021;Sudeste;Total;Pública;89,4;3,1;5,8
2020/2021;Sul;Total;Total;84,4;4,3;10,6
2020/2021;Sul;Urbana;Total;84,3;4,3;10,7
2020/2021;Sul;Rural;Total;87,6;4,5;7,6
2020/2021;Sul;Total;Federal;65,6;32,1;1,9
2020/2021;Sul;Total;Estadual;83,1;3,8;12,4
2020/2021;Sul;Total;Municipal;86,2;8,1;4,7
2020/2021;Sul;Total;Privada;97,5;0,8;1,4
2020/2021;Sul;Total;Pública;82,4;4,8;12
2020/2021;Centro-Oeste;Total;Total;87;5,3;6,3
2020/2021;Centro-Oeste;Urbana;Total;87,1;5,2;6,3
2020/2021;Centro-Oeste;Rural;Total;84,2;8,2;5,8
2020/2021;Centro-Oeste;Total;Federal;80,4;15,6;3,6
2020/2021;Centro-Oeste;Total;Estadual;86;5,5;7
2020/2021;Centro-Oeste;Total;Municipal;88,3;6,6;4,2
2020/2021;Centro-Oeste;Total;Privada;95,3;1,5;2,7
2020/2021;Centro-Oeste;Total;Pública;85,7;5,9;6,8
2020/2021;Rondônia;Total;Total;85,6;7;3,9
2020/2021;Rondônia;Urbana;Total;86,3;6,3;3,8
2020/2021;Rondônia;Rural;Total;74,6;18,1;5,4
2020/2021;Rondônia;Total;Privada;94,8;2;2,5
2020/2021;Rondônia;Total;Pública;85,1;7,3;4
2020/2021;Acre;Total;Total;80,7;11,7;6,4
2020/2021;Acre;Urbana;Total;80,8;12,4;5,6
2020/2021;Acre;Rural;Total;80,6;9;9,5
2020/2021;Acre;Total;Privada;97,7;0,5;1,7
2020/2021;Acre;Total;Pública;80;12,2;6,6
2020/2021;Amazonas;Total;Total;94,3;1,4;1,7
2020/2021;Amazonas;Urbana;Total;94,5;1,1;1,5
2020/2021;Amazonas;Rural;Total;93,5;2,9;2,9
2020/2021;Amazonas;Total;Privada;94,7;1,4;3,8
2020/2021;Amazonas;Total;Pública;94,3;1,4;1,6
2020/2021;Roraima;Total;Total;89,3;4,4;4
2020/2021;Roraima;Urbana;Total;89,5;4,4;3,7
2020/2021;Roraima;Rural;Total;88,3;4,6;5,2
2020/2021;Roraima;Total;Privada;98;0,8;0,9
2020/2021;Roraima;Total;Pública;88,9;4,6;4,1
2020/2021;Pará;Total;Total;95;1,4;3
2020/2021;Pará;Urbana;Total;95;1,5;3,1
2020/2021;Pará;Rural;Total;95,7;1;2,9
2020/2021;Pará;Total;Privada;94,3;2,2;3,3
2020/2021;Pará;Total;Pública;95,1;1,4;3
2020/2021;Amapá;Total;Total;83;10,7;3,8
2020/2021;Amapá;Urbana;Total;82,3;11,2;3,8
2020/2021;Amapá;Rural;Total;87,5;7,8;3,9
2020/2021;Amapá;Total;Privada;95;2,1;2,7
2020/2021;Amapá;Total;Pública;82;11,5;3,9
2020/2021;Tocantins;Total;Total;88,4;3,8;6
2020/2021;Tocantins;Urbana;Total;88,4;3,7;6,1
2020/2021;Tocantins;Rural;Total;89,4;4,8;4,9
2020/2021;Tocantins;Total;Privada;97,2;0,9;1,2
2020/2021;Tocantins;Total;Pública;87,9;4;6,3
2020/2021;Maranhão;Total;Total;84,7;5,1;8,7
2020/2021;Maranhão;Urbana;Total;84,9;5,2;8,5
2020/2021;Maranhão;Rural;Total;83,8;5,1;10
2020/2021;Maranhão;Total;Privada;92,8;2,6;4,1
2020/2021;Maranhão;Total;Pública;84,3;5,3;8,9
2020/2021;Piauí;Total;Total;89,2;4,4;5,3
2020/2021;Piauí;Urbana;Total;89,4;4,3;5,1
2020/2021;Piauí;Rural;Total;85,8;5,7;7,6
2020/2021;Piauí;Total;Privada;93,8;3,3;2,6
2020/2021;Piauí;Total;Pública;88,7;4,5;5,6
2020/2021;Ceará;Total;Total;94,5;1,3;3,9
2020/2021;Ceará;Urbana;Total;94,5;1,3;3,9
2020/2021;Ceará;Rural;Total;94,8;1,2;3,8
2020/2021;Ceará;Total;Privada;96,1;1,3;2,2
2020/2021;Ceará;Total;Pública;94,3;1,3;4
2020/2021;Rio Grande do Norte;Total;Total;93,7;3,1;2
2020/2021;Rio Grande do Norte;Urbana;Total;93,7;3,1;2
2020/2021;Rio Grande do Norte;Rural;Total;94,1;3,1;1,6
2020/2021;Rio Grande do Norte;Total;Privada;92,6;2,6;4
2020/2021;Rio Grande do Norte;Total;Pública;93,9;3,2;1,8
2020/2021;Paraíba;Total;Total;92,3;2;4,3
2020/2021;Paraíba;Urbana;Total;92,2;2;4,3
2020/2021;Paraíba;Rural;Total;94,8;1,4;2,9
2020/2021;Paraíba;Total;Privada;89,6;1,7;8,6
2020/2021;Paraíba;Total;Pública;92,8;2;3,6
2020/2021;Pernambuco;Total;Total;89,7;1,4;7,2
2020/2021;Pernambuco;Urbana;Total;89,8;1,2;7,2
2020/2021;Pernambuco;Rural;Total;88,1;3,9;6,6
2020/2021;Pernambuco;Total;Privada;94,8;1,9;3,2
2020/2021;Pernambuco;Total;Pública;89,1;1,3;7,6
2020/2021;Alagoas;Total;Total;90,9;2,2;5
2020/2021;Alagoas;Urbana;Total;90,9;2,3;4,9
2020/2021;Alagoas;Rural;Total;90,6;0,7;7
2020/2021;Alagoas;Total;Privada;92,9;1,8;5,1
2020/2021;Alagoas;Total;Pública;90,6;2,3;5
2020/2021;Sergipe;Total;Total;91,5;1,9;4,8
2020/2021;Sergipe;Urbana;Total;91,8;1,8;4,7
2020/2021;Sergipe;Rural;Total;85,6;3,3;5,9
2020/2021;Sergipe;Total;Privada;96,2;0,7;2,9
2020/2021;Sergipe;Total;Pública;90,6;2,1;5,2
2020/2021;Bahia;Total;Total;80,1;14,7;4,9
2020/2021;Bahia;Urbana;Total;80,3;14,7;4,6
2020/2021;Bahia;Rural;Total;77,3;14,3;7,9
2020/2021;Bahia;Total;Privada;93,2;2,3;4,4
2020/2021;Bahia;Total;Pública;78,6;16,1;4,9
2020/2021;Minas Gerais;Total;Total;85,4;3,1;8,6
2020/2021;Minas Gerais;Urbana;Total;85,3;3,1;8,7
2020/2021;Minas Gerais;Rural;Total;89,4;4,2;5,6
2020/2021;Minas Gerais;Total;Privada;96,8;1,1;1,8
2020/2021;Minas Gerais;Total;Pública;84,2;3,4;9,4
2020/2021;Espírito Santo;Total;Total;89,2;2,2;4,2
2020/2021;Espírito Santo;Urbana;Total;89,2;2,1;4,2
2020/2021;Espírito Santo;Rural;Total;89;6;3,8
2020/2021;Espírito Santo;Total;Privada;96,3;1,5;1,8
2020/2021;Espírito Santo;Total;Pública;88,2;2,3;4,5
2020/2021;Rio de Janeiro;Total;Total;85,1;4,9;8,6
2020/2021;Rio de Janeiro;Urbana;Total;85,1;4,9;8,7
2020/2021;Rio de Janeiro;Rural;Total;86;5,3;7,6
2020/2021;Rio de Janeiro;Total;Privada;94,7;1,7;2,8
2020/2021;Rio de Janeiro;Total;Pública;82,9;5,7;10
2020/2021;São Paulo;Total;Total;95,4;1,8;2,3
2020/2021;São Paulo;Urbana;Total;95,4;1,7;2,2
2020/2021;São Paulo;Rural;Total;93,3;3,6;2,9
2020/2021;São Paulo;Total;Privada;98,5;0,5;0,9
2020/2021;São Paulo;Total;Pública;94,7;2;2,5
2020/2021;Paraná;Total;Total;84,4;2,8;12,4
2020/2021;Paraná;Urbana;Total;84,2;2,9;12,6
2020/2021;Paraná;Rural;Total;90,5;1,8;7,7
2020/2021;Paraná;Total;Privada;97,9;0,5;1,5
2020/2021;Paraná;Total;Pública;82,2;3,2;14,2
2020/2021;Santa Catarina;Total;Total;84,4;8;6,8
2020/2021;Santa Catarina;Urbana;Total;84,3;8;6,9
2020/2021;Santa Catarina;Rural;Total;88,3;6,1;5,1
2020/2021;Santa Catarina;Total;Privada;97,2;1,1;1,5
2020/2021;Santa Catarina;Total;Pública;82,6;9;7,6
2020/2021;Rio Grande do Sul;Total;Total;84,3;3,4;11,1
2020/2021;Rio Grande do Sul;Urbana;Total;84,3;3,3;11,2
2020/2021;Rio Grande do Sul;Rural;Total;83,3;7,4;8,7
2020/2021;Rio Grande do Sul;Total;Privada;97,2;1,1;1,4
2020/2021;Rio Grande do Sul;Total;Pública;82,5;3,7;12,4
2020/2021;Mato Grosso do Sul;Total;Total;83,5;9,1;6,8
2020/2021;Mato Grosso do Sul;Urbana;Total;83,3;9,2;6,9
2020/2021;Mato Grosso do Sul;Rural;Total;85,7;8,1;5,8
2020/2021;Mato Grosso do Sul;Total;Privada;95,9;2;2
2020/2021;Mato Grosso do Sul;Total;Pública;82,1;9,9;7,3
2020/2021;Mato Grosso;Total;Total;88,6;4,2;5,8
2020/2021;Mato Grosso;Urbana;Total;88,9;4;5,8
2020/2021;Mato Grosso;Rural;Total;85,2;6;6,2
2020/2021;Mato Grosso;Total;Privada;95,4;2,1;2,4
2020/2021;Mato Grosso;Total;Pública;87,9;4,4;6,2
2020/2021;Goiás;Total;Total;88,6;2,9;7,2
2020/2021;Goiás;Urbana;Total;88,7;2,7;7,2
2020/2021;Goiás;Rural;Total;81,8;10,9;6,7
2020/2021;Goiás;Total;Privada;94,7;1,8;3,1
2020/2021;Goiás;Total;Pública;87,7;3,1;7,8
2020/2021;Distrito Federal;Total;Total;84,6;8,8;4,4
2020/2021;Distrito Federal;Urbana;Total;84,7;8,7;4,4
2020/2021;Distrito Federal;Rural;Total;81,5;13,4;2,5
2020/2021;Distrito Federal;Total;Privada;95,9;0,8;2,7
2020/2021;Distrito Federal;Total;Pública;81,3;11,2;4,8
